label,error_type,template
Error,DataError,error message error error parsing <*> error converting YAML to JSON yaml invalid map key map interface interface <*> | quote interface nil
Error,DataError,Reconciler error error failed to reconcile manifests failed to do kubectl apply error error parsing <*> error converting YAML to JSON yaml invalid map key map interface interface <*> | quote interface nil exit status <*> name <*> namespace <*> reconciler group <*> reconciler kind Pack
Normal,NA,error message Warning <*> Certificate is deprecated in <*> unavailable in <*> use <*> Certificate
Error,ConnectionTimeout,Reconciler error error failed to pivot move resource failed to move configmap to target cluster failed to move configmap <*> error copying ConfigMap <*> to target cluster Post https <*> <*> <*> context deadline exceeded controller spectrocluster name <*> namespace <*>
Error,ConnectionTimeout,Reconciler error error unable to install crd failed to get deployment <*> timed out waiting for the condition controller spectrocluster name <*> namespace <*>
Error,NotAuthorized,error retrieving resource lock <*> <*> <*> is forbidden User system <*> cannot get resource leases in API group <*> in the namespace <*>
Error,NotAuthorized,Failed to watch <*> failed to list <*> <*> is forbidden User system <*> cannot list resource <*> in API group policy at the cluster scope
Error,NotAuthorized,Failed to watch <*> failed to list <*> services is forbidden User system <*> cannot list resource services in API group at the cluster scope
Error,NotAuthorized,Failed to watch <*> failed to list <*> <*> is forbidden User system <*> cannot list resource <*> in API group <*> at the cluster scope
Error,NotAuthorized,Failed to watch <*> failed to list <*> pods is forbidden User system <*> cannot list resource pods in API group at the cluster scope
Error,NotAuthorized,Failed to watch <*> failed to list <*> <*> is forbidden User system <*> cannot list resource storageclasses in API group <*> at the cluster scope
Error,OperationTimeout,<*> <*> <*> <*> W | etcdserver read-only range request key <*> with result error etcdserver leader changed took too long <*> to execute
Error,OperationTimeout,<*> <*> <*> <*> W | etcdserver read-only range request key <*> with result error context canceled took too long <*> to execute
Error,OperationTimeout,<*> <*> <*> <*> W | etcdserver read-only range request key <*> with result error context deadline exceeded took too long <*> to execute
Error,OperationTimeout,<*> <*> <*> <*> W | etcdserver read-only range request key <*> with result error etcdserver request timed out took too long <*> to execute
Error,OperationTimeout,<*> <*> <*> <*> W | etcdserver read-only range request key <*> range_end <*> with result error etcdserver request timed out took too long <*> to execute
Error,OperationTimeout,<*> <*> <*> <*> W | etcdserver read-only range request key <*> range_end <*> count_only true with result error etcdserver request timed out took too long <*> to execute
Error,ConnectionError,failed to list all deployments spectrocluster Namespace <*> Name <*> error detail Op Get URL https <*> <*> Err
Error,ConnectionError,failed to list all ingress spectrocluster Namespace <*> Name <*> error detail Op Get URL https <*> <*> Err
Error,ConnectionError,failed to list all services spectrocluster Namespace <*> Name <*> error detail Op Get URL https <*> <*> Err
Error,ConnectionError,failed to list all ingress spectrocluster Namespace <*> Name <*> error detail Op Get URL https <*> <*> Err Op dial Net tcp Source null Addr IP <*> Port <*> Zone Err
Error,ConnectionError,failed to list all services spectrocluster Namespace <*> Name <*> error detail Op Get URL https <*> <*> Err Op dial Net tcp Source null Addr IP <*> Port <*> Zone Err
Error,ConnectionError,failed to list all deployments spectrocluster Namespace <*> Name <*> error detail Op Get URL https <*> <*> Err Op dial Net tcp Source null Addr IP <*> Port <*> Zone Err
Error,ConnectionError,error retrieving resource lock <*> Get https <*> <*> <*> dial tcp <*> <*> connect connection refused
Error,ConnectionError,Failed to watch <*> failed to list <*> Get https <*> <*> <*> limit <*> resourceVersion 0 dial tcp <*> <*> connect connection refused
Error,ConnectionError,Failed to watch <*> failed to list <*> Get https <*> <*> <*> resourceVersion 0 dial tcp <*> <*> connect connection refused
Normal,ResourceNotFound,Failed to get node <*> nodes <*> not found cluster <*>
Normal,ResourceNotFound,Failed to update machine for pool <*> nodes <*> not found cluster <*>
Normal,ResourceNotFound,Failed to create/update machines in pool <*> nodes <*> not found cluster <*>
